Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength,Strength Category
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1040.0 ,676.0 ,28 ,79.99 ,Alto
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1055.0 ,676.0 ,28 ,61.89 ,Alto
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,40.27 ,Baixa
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,41.05 ,Baixa
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,360 ,44.30 ,Baixa
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,47.03 ,Baixa
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.70 ,Baixa
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,36.45 ,Baixa
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,45.85 ,Baixa
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,39.29 ,Baixa
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,90 ,38.07 ,Baixa
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,28 ,28.02 ,Baixa
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,43.01 ,Baixa
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,42.33 ,Baixa
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,47.81 ,Baixa
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,52.91 ,Baixa
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,90 ,39.36 ,Baixa
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,56.14 ,Baixa
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,40.56 ,Baixa
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,42.62 ,Baixa
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,41.84 ,Baixa
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,28 ,28.24 ,Baixa
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,3 ,8.06 ,Baixa
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,180 ,44.21 ,Baixa
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,52.52 ,Baixa
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,53.30 ,Baixa
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,41.15 ,Baixa
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,52.12 ,Baixa
